COMUNE,CODPRO,CODCOM,PROCOM,SEZIONE CENSIMENTO,P1,P2,P3,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P42,P43,P44,P45,P67,P68,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P86,P87,P88,P89,P90,P91,P92,P93,P94,P96,P97,P98,P99,P100,P101,P102,P103,IT1,IT2,IT3,IT4,IT5,IT6,IT7,IT8,IT9,IT10,IT11,IT12,ST1,ST2,ST2_B,ST3,ST4,ST5,ST16,ST17,ST18,ST19,ST20,ST21,ST22,ST23,ST24,ST25,ST26,ST27,ST28,ST29,ST30,ST31,ST32,ST33,PF1,PF3,PF4,PF5,PF6,PF7,PF8,A2
Bagno a Ripoli,6048,126,6048126,60481260009758,25314,12039,13275,800,921,1191,1280,1116,1084,1141,1170,1395,1885,2042,2002,1677,1541,1752,4317,419,466,647,630,571,523,554,563,668,919,962,794,712,807,1832,381,455,544,650,545,561,587,607,727,966,1080,1030,883,829,945,2485,23783,11247,12536,810,3803,6154,8463,4553,330,1532,3348,4011,480,2271,2806,4452,2527,10014,5220,4794,2622,13215,7458,1380,6516,3303,1242,6699,4155,9065,4764,4301,2019,840,1179,599,1003,417,574,187,387,1445,653,792,290,1577,152,152,640,48,138,937,104,949,456,493,11294,3944,3400,2014,1452,370,114,11057
Barberino Tavarnelle,4800,5400,4805400,48054000007439,11906,5933,5973,383,505,577,609,544,538,527,611,769,973,930,957,861,816,705,1601,195,264,292,313,297,294,266,317,395,488,483,435,381,353,699,188,241,285,296,247,244,261,294,374,485,447,496,426,435,352,902,11139,5536,5603,443,1891,3296,3885,1624,183,804,1905,1935,260,1087,1391,1950,915,5042,2776,2266,1310,6578,3030,668,3402,1397,642,3176,1633,4585,2514,2071,988,466,522,309,458,221,372,140,232,616,326,290,155,741,92,83,347,36,72,394,56,457,262,195,5159,1703,1492,1008,731,159,66,5095
Barberino di Mugello,7680,320,7680320,76803208903657,10884,5393,5491,411,480,565,502,517,571,592,593,691,868,929,831,730,677,642,1285,209,234,288,269,279,288,301,296,350,430,468,364,343,305,550,202,246,277,233,238,283,291,297,341,438,461,412,366,334,337,735,10094,5004,5090,402,1723,3256,3597,1116,190,747,1912,1745,212,976,1344,1852,706,4731,2614,2117,1232,6049,2552,631,3083,1175,601,2966,1377,4284,2349,1935,1051,504,547,417,499,135,363,150,213,688,354,334,224,775,52,100,381,23,124,394,29,447,265,182,4667,1508,1347,922,653,178,59,4569
Borgo San Lorenzo,12960,1080,12961080,129610808948249,18184,8832,9352,658,780,884,856,929,919,953,981,1121,1348,1413,1428,1318,1137,1121,2338,331,423,442,417,483,467,501,476,549,672,701,653,546,532,944,327,357,442,439,446,452,452,505,572,676,712,733,665,591,589,1394,16903,8166,8737,628,2690,5087,6194,2304,280,1097,2813,3037,348,1593,2274,3157,1365,7804,4186,3618,2010,10010,4488,1030,5012,1987,980,4998,2501,7051,3735,3316,1676,803,873,635,768,273,425,150,275,1251,653,598,312,1256,108,166,602,35,146,654,73,753,451,302,8049,2881,2269,1450,1075,251,123,7917
Calenzano,3552,370,3552370,35523708892557,18041,8886,9155,694,819,868,836,749,789,915,1043,1254,1533,1461,1346,1207,1052,1089,2386,357,415,454,445,393,406,459,515,631,753,742,577,495,512,1046,337,404,414,391,356,383,456,528,623,780,719,660,630,557,577,1340,16703,8202,8501,648,2975,4883,5943,2254,275,1305,2791,2912,373,1670,2092,3031,1335,7889,4210,3679,2157,10031,4462,1114,5052,2032,1043,4979,2430,7165,3798,3367,1391,688,703,502,714,175,319,119,200,1072,569,503,224,1102,65,112,555,21,112,547,44,724,412,312,7793,2516,2371,1469,1106,234,97,7663
Campi Bisenzio,16848,2106,16850106,168501060067997,47541,23569,23972,1838,2307,2602,2563,2353,2272,2721,2962,3381,4175,4085,3595,2669,2383,2464,5171,989,1188,1370,1340,1251,1157,1372,1493,1677,2105,2069,1332,1151,1112,2146,849,1119,1232,1223,1102,1115,1349,1469,1704,2070,2016,1778,1337,1232,1352,3025,43925,21654,22271,2266,7877,14697,14597,4488,980,3447,8261,7126,1286,4430,6436,7471,2648,21346,11693,9653,4689,22945,9646,2440,11606,4241,2249,11339,5405,16170,8790,7380,10261,5282,4979,3968,4990,1303,1202,523,679,9059,4759,4300,2058,7831,372,1107,4007,168,951,3824,204,5176,2903,2273,19037,5592,5392,3756,2879,816,602,18683
Capraia e Limite,1728,288,1728288,17282880001080,7881,3908,3973,279,396,423,373,365,362,428,438,630,686,677,632,504,421,420,847,137,209,234,189,198,194,216,212,317,330,347,255,201,208,361,142,187,189,184,167,168,212,226,313,356,330,332,249,220,212,486,7287,3600,3687,295,1285,2241,2446,1020,127,539,1300,1222,168,746,941,1224,608,3524,1910,1614,982,4605,1662,521,2360,760,461,2245,902,3215,1766,1449,632,267,365,225,310,97,194,64,130,438,203,235,116,490,26,59,198,10,57,292,16,309,144,165,3329,1018,951,693,515,114,38,3271
Castelfiorentino,6864,1430,6865430,68654308903673,17364,8504,8860,674,782,760,770,847,842,946,949,1085,1361,1415,1307,1192,961,1048,2425,353,403,424,375,456,391,475,478,558,689,697,600,467,507,965,321,379,336,395,391,451,471,471,527,672,718,641,592,494,541,1460,16071,7831,8240,706,3148,5327,5104,1786,292,1291,2967,2556,414,1857,2360,2548,1061,7098,3919,3179,1691,8898,4332,907,4475,1900,784,4423,2432,6091,3322,2769,2443,1222,1221,988,1150,305,268,81,187,2175,1141,1034,525,1816,102,273,910,39,252,906,63,1007,597,410,7293,2200,2256,1476,936,286,139,7172
Cerreto Guidi,3264,748,3264748,32647488892096,10794,5262,5532,345,458,510,552,491,442,515,609,783,1036,917,863,715,629,639,1290,164,221,268,271,267,217,232,309,386,530,463,366,279,293,555,181,237,242,281,224,225,283,300,397,506,454,422,349,350,346,735,10095,4931,5164,457,2070,3350,3167,1051,189,893,1931,1502,268,1177,1419,1665,635,4662,2562,2100,1053,5685,2494,512,2876,1104,541,2809,1390,3882,2132,1750,1562,770,792,536,841,185,133,29,104,1429,741,688,260,1238,64,141,606,23,119,632,41,780,430,350,4460,1337,1283,930,622,189,99,4356
Certaldo,5760,1440,5761440,57614400008246,15483,7641,7842,481,586,654,721,749,758,801,843,927,1232,1252,1247,1048,880,1022,2282,249,288,359,392,437,422,429,420,459,602,660,499,407,463,925,232,298,295,329,312,336,372,423,468,630,592,617,549,473,559,1357,14529,7162,7367,630,2815,4789,4586,1709,252,1175,2809,2222,378,1640,1980,2364,1005,6381,3577,2804,1512,8375,4060,776,4300,1751,736,4075,2309,5715,3163,2552,1536,814,722,536,707,293,362,135,227,1174,679,495,209,1203,124,120,650,44,89,553,80,666,414,252,6768,2223,2065,1368,844,190,78,6655
